Funder Name,City,State,Country,* Value of Grants,Number of Grants,Details
Amy Smith and John G. Berylson Charitable Foundation,Boston,MA,United States,"$500,000",3,
"The Crotty Family Foundation, Inc.",Boston,MA,United States,"$500,000",2,
Harvey Goodstein Charitable Trust,Fort Washington,PA,United States,"$500,000",1,
Jewish Community Foundation of the Jewish Federation Council of Greater Los Angeles,Los Angeles,CA,United States,"$500,000",1,
"Koha Foundation, Inc.",New York City,NY,United States,"$500,000",1,
Salesforce.Com,San Francisco,CA,United States,"$500,000",1,
"Stephen and Tabitha King Foundation, Inc.",New York City,NY,United States,"$500,000",1,
United Way of Central Massachusetts Inc,Worcester,MA,United States,"$499,444",26,
"The Hillside Foundation, Inc.",Washington,DC,United States,"$497,100",2,
Thee Mustard Seed Foundation,Boston,MA,United States,"$496,000",3,
Casey Family Programs,Seattle,WA,United States,"$495,000",3,
The Vijaya Foundation,Greenwich,CT,United States,"$490,000",2,
Paul and Edith Babson Foundation,Wilmington,DE,United States,"$489,250",129,
Gordon Family Foundation,Boston,MA,United States,"$484,000",10,
Geoffrey Gund Foundation,Brooklyn,OH,United States,"$481,620",10,
Exxonmobil Foundation,The Woodlands,TX,United States,"$479,888",6,
The Bigbird Fund,Boston,MA,United States,"$479,297",24,
The Genevieve Mcmillan-Reba Stewart Foundation,Norwood,MA,United States,"$476,000",25,
The Heising-Simons Foundation,Los Altos,CA,United States,"$475,000",3,
"Hap, Inc.",Springfield,MA,United States,"$470,560",1,
"Dana-Farber Cancer Institute, Inc.",Boston,MA,United States,"$468,290",9,
Fairfield County'S Community Foundation,Norwalk,CT,United States,"$468,155",17,
First Niagara Foundation,Buffalo,NY,United States,"$467,100",18,
Verizon Foundation,Basking Ridge,NJ,United States,"$463,191",359,
"Hunt Street Fund, Inc.",Needham,MA,United States,"$460,000",32,
Beatrice P. Delany Charitable Trust,Chicago,IL,United States,"$460,000",10,
"The Bay and Paul Foundations, Inc.",Wilmington,DE,United States,"$460,000",2,
Caroline & Sigmund Schott Fund,Cambridge,MA,United States,"$458,242",5,
The Henry P. Kendall Foundation,Boston,MA,United States,"$457,250",7,
American Endowment Foundation,Hudson,OH,United States,"$455,900",24,
Anne T. & Robert M. Bass Foundation,Fort Worth,TX,United States,"$455,000",11,
The Ark Foundation,Fairfield,PA,United States,"$455,000",6,
Kayne Foundation,Los Angeles,CA,United States,"$450,000",2,
May and Stanley Smith Charitable Trust,Corte Madera,CA,United States,"$443,000",10,
The Arthur M. Blank Family Foundation,Atlanta,GA,United States,"$442,500",6,
Edward S. & Winifred G. Moseley Foundation,Boston,MA,United States,"$439,500",24,
"Hess Foundation, Inc.",Roseland,NJ,United States,"$439,500",13,
Community Foundation of Greater Memphis,Memphis,TN,United States,"$435,000",4,
The Barry S. Sternlicht Foundation,Wilmington,DE,United States,"$434,300",8,
Phoebe R. & John D. Lewis Foundation,Green Bay,WI,United States,"$431,434",10,
The Whitman Institute,San Francisco,CA,United States,"$430,000",8,
Arthur F. Blanchard Trust,Pittsburgh,PA,United States,"$429,775",9,
The Weezie Foundation,Chicago,IL,United States,"$428,500",10,
"Boston Scientific Foundation, Inc.",Marlborough,MA,United States,"$426,749",29,
Johnson Family Foundation,Cincinnati,OH,United States,"$425,000",10,
"The Price Family Foundation, Inc.",Far Hills,NJ,United States,"$425,000",3,
Egl Charitable Foundation,New York City,NY,United States,"$422,739",1,
Jewish Federation Council of Greater La,Los Angeles,CA,United States,"$422,046",1,
Aarp Foundation,Washington,DC,United States,"$419,935",3,
Mary W. B. Curtis Trust,Boston,MA,United States,"$417,500",72,
"Eversource Energy Foundation, Inc.",Hartford,CT,United States,"$413,500",27,
William & Sheila Konar Foundation,West Henrietta,NY,United States,"$412,000",1,
The Downey Family Charitable Foundation,Boston,MA,United States,"$410,500",23,
"The Kohlberg Foundation, Inc.",Mount Kisco,NY,United States,"$410,000",11,
"Germeshausen Foundation, Inc.",Boston,MA,United States,"$408,000",11,
Frank Reed & Margaret Jane Peters Memorial Fund Ii,Providence,RI,United States,"$407,292",36,
"Leon Lowenstein Foundation, Inc.",New Haven,CT,United States,"$405,000",7,
Youthbuild International,Roxbury,MA,United States,"$401,739",7,
Samberg Family Foundation,Arlington,VA,United States,"$400,000",2,
The Ressler/Gertz Foundation,Encino,CA,United States,"$400,000",2,
Wasserman Foundation,Los Angeles,CA,United States,"$400,000",2,
Aven Foundation,Medina,WA,United States,"$400,000",1,
Headwaters Foundation for Justice,Minneapolis,MN,United States,"$400,000",1,
"Silicon Schools Fund, Inc.",Emeryville,CA,United States,"$400,000",1,
Skywords Family Foundation,San Francisco,CA,United States,"$400,000",1,
The Benificus Foundation,San Carlos,CA,United States,"$400,000",1,
James B. Corcoran Trust,Providence,RI,United States,"$397,674",8,
Burke Family Foundation,New York City,NY,United States,"$395,455",6,
The Oxl Foundation,Boston,MA,United States,"$395,000",8,
Adelaide Breed Bayrd Foundation,Malden,MA,United States,"$394,815",18,
Tulsa Community Foundation,Tulsa,OK,United States,"$394,120",4,
Bezos Family Foundation,Seattle,WA,United States,"$393,960",1,
"The People'S United Community Foundation, Inc.",Bridgeport,CT,United States,"$391,000",72,
Unidosus,Washington,DC,United States,"$389,536",9,
Holdeen Fund 50-10,Las Vegas,NV,United States,"$384,211",3,
Lawson Valentine Foundation,Glastonbury,CT,United States,"$380,300",23,
Chamberlin Family Foundation,Richmond,CA,United States,"$380,000",3,
"The Lynde and Harry Bradley Foundation, Inc.",Milwaukee,WI,United States,"$378,000",8,
The Pitney Bowes Foundation,Stamford,CT,United States,"$377,200",18,
Friends of Mount Hope Cemetry,North Attleboro,MA,United States,"$376,905",1,
J. M. R. Barker Foundation,Waltham,MA,United States,"$375,000",4,
"Interlaken Foundation, Inc.",New York City,NY,United States,"$375,000",1,
"Harry L. Bradley, Jr. Charitable Fund",West Palm Beach,FL,United States,"$373,000",6,
Legacy Alcoa Foundation,Pittsburgh,PA,United States,"$372,500",6,
Everett Foundation for Aged Persons Inc.,Boston,MA,United States,"$371,000",7,
"Real Colegio Complutense, Inc.",Cambridge,MA,United States,"$370,608",2,
Newman'S Own Foundation,Westport,CT,United States,"$367,500",18,
The Nord Family Foundation,Amherst,OH,United States,"$367,000",12,
Saint Paul & Minnesota Foundation,Saint Paul,MN,United States,"$365,375",22,
"The Louise, Sven and Anna Betty Carlson Foundation",Boston,MA,United States,"$365,000",6,
The Panjandrum Foundation,Keene,NH,United States,"$365,000",1,
The Panjandrum Foundation,Keene,NH,United States,"$365,000",1,
"George T. Lewis, Jr. 2001 Foundation",Charlotte,NC,United States,"$361,250",7,
Overdeck Family Foundation,New York,NY,United States,"$360,000",2,
"United Way of Pioneer Valley, Inc.",Springfield,MA,United States,"$357,338",10,
"Wild Geese Foundation, Inc.",Cambridge,MA,United States,"$350,300",23,
The Heinz Endowments,Pittsburgh,PA,United States,"$350,025",5,
Direct Relief,Santa Barbara,CA,United States,"$350,000",6,
Adelson Family Foundation,Needham,MA,United States,"$350,000",2,
"The Atlantic Advocacy Fund, Inc.",New York City,NY,United States,"$350,000",2,
American Civil Liberties Union,New York City,NY,United States,"$350,000",1,
William R Kenan Jr Charitable Trust,Chicago,IL,United States,"$350,000",1,
Woodcock Foundation,New York City,NY,United States,"$350,000",1,
Media Matters Action Network,Washington,DC,United States,"$349,000",2,
Asian Healthcare Foundation Ofmassachusetts Inc,Boston,MA,United States,"$343,000",9,
"Robert and Myra Kraft Family Foundation, Inc.",Foxborough,MA,United States,"$341,000",11,
Marin Community Foundation,Novato,CA,United States,"$340,500",6,
James C. Melvin Trust,Boston,MA,United States,"$340,000",9,
Mckenzie Family Charitable Trust,Putney,VT,United States,"$335,000",7,
"The New England Patriots Charitable Foundation, Inc.",Foxboro,MA,United States,"$333,000",36,
The Ashurst Foundation,Boston,MA,United States,"$332,750",23,
James G. Martin Memorial Trust,Rye Beach,NH,United States,"$332,000",16,
Keane Family Foundation,Needham,MA,United States,"$332,000",5,
National Christian Charitable Foundation Inc,Alpharetta,GA,United States,"$331,562",23,
Jockers Family Foundation,Wilmington,DE,United States,"$331,500",17,
Pricewaterhouse Coopers Charitable Foundation,New York City,NY,United States,"$330,375",4,
The Peter and Elizabeth C. Tower Foundation,Getzville,NY,United States,"$328,727",16,
The Susan F. Schiro and Peter J. Manus Foundation,Brookline,MA,United States,"$328,500",11,
Swartz Foundation Trust,New York City,NY,United States,"$328,000",26,
"1772 Foundation, Inc.",Providence,RI,United States,"$326,500",12,
Stranahan Foundation,Toledo,OH,United States,"$326,198",3,
Mcnay Family Foundation,Boston,MA,United States,"$325,400",8,
Lumina Foundation,Indianapolis,IN,United States,"$325,000",7,
The Muse Family Foundation,Dallas,TX,United States,"$325,000",2,
Weingart Foundation,Los Angeles,CA,United States,"$325,000",2,
Shimon Ben Joseph Foundation,San Francisco,CA,United States,"$324,076",2,
Boston Bar Foundation,Boston,MA,United States,"$324,000",28,
"Massachusetts Bar Foundation, Inc.",Boston,MA,United States,"$324,000",10,
The Sharpe Family Foundation,Providence,RI,United States,"$323,500",28,
Raikes Foundation,Seattle,WA,United States,"$322,500",1,
Noubar & Anna Afeyan Foundation,Cambridge,MA,United States,"$319,100",13,
Vesper Foundation,Brecksville,OH,United States,"$316,550",10,
Moses Kimball Fund,Boston,MA,United States,"$316,500",59,
San Antonio Area Foundation,San Antonio,TX,United States,"$316,400",2,
Kate M. Rogers Trust,Las Vegas,NV,United States,"$315,808",6,
"The Bristol-Myers Squibb Foundation, Inc.",New York City,NY,United States,"$313,206",6,
Michael E. Porter Family Foundation,Albany,NY,United States,"$312,500",5,
Rita & Burt Tansky Foundation,Albany,NY,United States,"$312,000",5,
Hispanics in Philanthropy,Oakland,CA,United States,"$310,000",10,
American Express Foundation,New York City,NY,United States,"$308,797",59,
Donald F. and Edna G. Bishop Scholarship Foundation,Elmira,NY,United States,"$303,985",20,
"The Abell Foundation, Inc.",Baltimore,MD,United States,"$303,000",3,
United Way of North Central Mass Inc,Fitchburg,MA,United States,"$302,417",8,
Center for Economic Democracy Inc,Boston,MA,United States,"$300,500",17,
Yawkey Foundation i,Dedham,MA,United States,"$300,000",10,
The Jack Satter Foundation,Boca Raton,FL,United States,"$300,000",7,
A Better Chicago,Chicago,IL,United States,"$300,000",2,
"Galashiels Fund, Ltd.",Northbrook,IL,United States,"$300,000",2,
Blue Shield of California Foundation,San Francisco,CA,United States,"$300,000",1,
Countess Moira Charitable Foundation,Remsenburg,NY,United States,"$300,000",1,
Tiger Foundation,New York City,NY,United States,"$300,000",1,
Cogan Family Foundation,Boston,MA,United States,"$297,500",38,
George B. Henderson Foundation,Boston,MA,United States,"$295,555",7,
The M.A.C. Aids Fund,New York City,NY,United States,"$290,000",6,
Dcu for Kids,Marlborough,MA,United States,"$288,500",16,
Edwin S. Webster Foundation,Boston,MA,United States,"$287,500",17,
Hunt Alternatives Fund,Washington,DC,United States,"$282,917",19,
Janet and Stanley Kane Foundation,Sarasota,FL,United States,"$282,500",6,
James H. and Beatrice Salah Charitable Trust,Fort Lauderdale,FL,United States,"$281,860",10,
Goddard Health Services Inc.,Brockton,MA,United States,"$279,000",6,
The Minneapolis Foundation,Minneapolis,MN,United States,"$277,250",6,
Utay Family Foundation,Wilmington,DE,United States,"$275,600",4,
The Clinton H. & Wilma T. Shattuck Charitable Trust,Boston,MA,United States,"$275,000",24,
The Meelia Family Foundation,Boston,MA,United States,"$275,000",15,
Hassenfeld Foundation,Providence,RI,United States,"$275,000",6,
The Kopelman Foundation,Philadelphia,PA,United States,"$275,000",5,
The Paul and Phyllis Fireman Charitable Foundation,Waltham,MA,United States,"$274,350",28,
Ayco Charitable Foundation,Cohoes,NY,United States,"$273,750",12,
Central Massachusetts Agency Onaging Inc,West Boylston,MA,United States,"$273,622",9,
"Inavale Foundation, Inc.",Boston,MA,United States,"$273,350",8,
"Impactassets, Inc.",Bethesda,MD,United States,"$273,250",10,
The Blackstone Charitable Foundation,New York City,NY,United States,"$272,675",11,
Josephine G. Russell Trust,Andover,MA,United States,"$272,500",16,
School Smart Kc Inc,Kansas City,MO,United States,"$271,399",2,
"J. C. Kellogg Foundation, Inc.",New York City,NY,United States,"$270,500",15,
National Performance Network Inc,New Orleans,LA,United States,"$270,250",4,
Peter R. & Cynthia K. Kellogg Foundation,New York City,NY,United States,"$268,300",17,
Johnson Scholarship Foundation,West Palm Beach,FL,United States,"$268,000",9,
The Osterman Family Foundation,Whitinsville,MA,United States,"$266,000",13,
The George & Marie Chabot Charitable Foundation,Siasconset,MA,United States,"$265,500",14,
The William O. & Carole P. Bailey Family Foundation,Richmond,VA,United States,"$265,500",12,
The John H. and H. Naomi Tomfohrde Foundation,Boston,MA,United States,"$262,500",22,
"Grimes-King Foundation for the Elderly, Inc.",Boston,MA,United States,"$261,000",15,
Kelleher Family Foundation,Duxbury,MA,United States,"$258,155",10,
Jewish Foundation for Education of Women,New York City,NY,United States,"$257,530",4,
"Samantha, Becky, Mark Foundation",Manchester-By-The-Sea,MA,United States,"$257,500",8,
The Angell Foundation,Los Angeles,CA,United States,"$257,000",5,
The Martin Foundation,Wilmington,DE,United States,"$256,500",9,
Maine Community Foundation,Ellsworth,ME,United States,"$255,761",10,
American Honda Foundation,Torrance,CA,United States,"$255,055",4,
Maine Community Foundation,Ellsworth,ME,United States,"$255,761",10,
American Honda Foundation,Torrance,CA,United States,"$255,055",4,
Pacifica Foundation,Warwick,RI,United States,"$255,000",6,
The Skillman Foundation,Detroit,MI,United States,"$251,000",3,
Wkbj Partnership Foundation,Denville,NJ,United States,"$251,000",2,
The David and Lucile Packard Foundation,Los Altos,CA,United States,"$250,588",2,
Boston Baptist Social Union,Melrose,MA,United States,"$250,000",8,
Peter E. Strauss Trust,Pittsburgh,PA,United States,"$250,000",6,
The Needmor Fund,Chicago,IL,United States,"$250,000",6,
Gordon & Llura Gund 1993 Charitable Foundation,Princeton,NJ,United States,"$250,000",5,
"Nike, Inc. Corporate Giving Program",Beaverton,OR,United States,"$250,000",4,
"The Charina Endowment Fund, Inc.",New York City,NY,United States,"$250,000",3,
Aviv Foundation Inc,Bethesda,MD,United States,"$250,000",1,
Citizens United for Research in Epilepsy (Cure),Chicago,IL,United States,"$250,000",1,
Coatue Foundation,New York City,NY,United States,"$250,000",1,
"Comic Relief, Inc.",New York City,NY,United States,"$250,000",1,
Dharampuriya Family Foundation,Boston,MA,United States,"$250,000",1,
Ernest H Augat Charitable Foundatic/O Gerald F Barrett,Cumberland,RI,United States,"$250,000",1,
Open Society Policy Center,Washington,DC,United States,"$250,000",1,
The Poss Family Foundation,Brookline,MA,United States,"$250,000",1,
The Ralph C. Wilson Jr. Foundation,Detroit,MI,United States,"$250,000",1,
Bradford & Dorothy Church Memorial Fund,Providence,RI,United States,"$249,551",27,
First Nations Development Institute,Longmont,CO,United States,"$249,258",6,
Nazarian Family Foundation,Englewood Cliffs,NJ,United States,"$248,700",10,
Marjorie Cohen Stanzler Charitable Trust,Wellesley,MA,United States,"$248,000",11,
The Davis Family Charitable Foundation,Boston,MA,United States,"$248,000",8,
